x,y,yaw,speed,ttc,aeb
0.02,0,0,0.72,-1,0
0.06,0,0,1.44,99.9,0
0.12,0,0,2.16,49.85,0
0.2,0,0,2.88,33.1333,0
0.3,0,0,3.6,24.75,0
0.42,0,0,4.32,19.7,0
0.56,0,0,5.04,16.3167,0
0.72,0,0,5.76,13.8857,0
0.9,0,0,6.48,12.05,0
1.1,0,0,7.2,10.6111,0
1.32,0,0,7.92,9.45,0
1.56,0,0,8.64,8.49091,0
1.82,0,0,9.36,7.68333,0
2.1,0,0,10.08,6.99231,0
2.4,0,0,10.8,6.39286,0
2.72,0,0,11.52,5.86667,0
3.06,0,0,12.24,5.4,0
3.42,0,0,12.96,4.98235,0
3.8,0,0,13.68,4.60555,0
4.2,0,0,14.4,4.26316,0
4.62,0,0,15.12,3.95,0
5.05603,0,0,15.6972,3.6619,0
5.50338,0,0,16.1046,3.42726,0
5.95783,0,0,16.3601,3.24056,0
6.41561,0,0,16.4802,3.08995,0
6.8734,0,0,16.4804,2.96743,0
7.32826,0,0,16.3751,2.86739,0
7.77764,0,0,16.1777,2.78583,0
8.21932,0,0,15.9004,2.71983,0
8.65139,0,0,15.5546,2.66726,0
9.07225,0,0,15.1508,2.62655,0
9.48054,0,0,14.6984,2.59656,0
9.87516,0,0,14.2063,2.57647,0
10.2552,0,0,13.6823,2.56572,0
10.62,0,0,13.1336,2.56398,0
10.9691,0,0,12.5667,2.5711,0
11.3021,0,0,11.9874,2.58708,0
11.6188,0,0,11.4009,2.6121,0
11.9191,0,0,10.8119,2.64648,0
12.2031,0,0,10.2243,2.69067,0
12.471,0,0,9.64176,2.7453,0
12.7228,0,0,9.06744,2.81116,0
12.9591,0,0,8.504,2.88922,0
13.18,0,0,7.95376,2.98064,0
13.3861,0,0,7.41864,3.08685,0
13.5777,0,0,6.90025,3.20951,0
13.7555,0,0,6.39991,3.35062,0
13.9199,0,0,5.91865,3.51257,0
14.0715,0,0,5.45726,3.69819,0
14.2109,0,0,5.01631,3.91085,0
14.3385,0,0,4.59617,4.15463,0
14.4551,0,0,4.19704,4.43441,0
